Grid Size,Devito/xDSL,Devito
((25, 25, 25), [0.0, 0.0, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0], [0.0006849999999999996, 0.0006689999999999996, 0.0006749999999999996, 0.0006829999999999996, 0.0006769999999999995, 0.0006759999999999995, 0.0006739999999999998, 0.0006859999999999994, 0.0006749999999999996, 0.0006759999999999994])
((25, 25, 50), [0.001, 0.002, 0.001, 0.002, 0.001, 0.001, 0.002, 0.002, 0.001, 0.001], [0.001180999999999999, 0.0010940000000000017, 0.0011140000000000015, 0.0011060000000000015, 0.0011060000000000013, 0.0011080000000000013, 0.0011040000000000017, 0.0011100000000000014, 0.0011160000000000013, 0.0011050000000000012])
((25, 50, 50), [0.002, 0.003, 0.002, 0.003, 0.003, 0.002, 0.003, 0.002, 0.002, 0.002], [0.002446000000000001, 0.002274000000000002, 0.0022900000000000017, 0.002264000000000002, 0.002266000000000002, 0.002286000000000002, 0.002274000000000002, 0.0023020000000000015, 0.0022940000000000018, 0.0022840000000000017])
((50, 50, 50), [0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.005], [0.004731999999999996, 0.004684999999999995, 0.004616999999999998, 0.0046279999999999984, 0.0046570000000000005, 0.00463, 0.004628, 0.004627999999999999, 0.004647000000000002, 0.004647000000000001])
((50, 50, 100), [0.008, 0.009, 0.009, 0.008, 0.008, 0.008, 0.009, 0.008, 0.009, 0.008], [0.007850000000000008, 0.007606000000000006, 0.007662000000000002, 0.0076719999999999965, 0.007662999999999997, 0.007671999999999997, 0.007662999999999998, 0.007637000000000001, 0.007644999999999998, 0.007646999999999998])
((50, 100, 100), [0.016, 0.017, 0.017, 0.017, 0.016, 0.017, 0.018, 0.018, 0.018, 0.017], [0.015632999999999994, 0.015381999999999988, 0.01534899999999999, 0.015382999999999983, 0.01538599999999999, 0.015383999999999988, 0.015349999999999987, 0.015371999999999988, 0.01566700000000001, 0.015753])
((100, 100, 100), [0.033, 0.032, 0.032, 0.032, 0.032, 0.032, 0.033, 0.033, 0.033, 0.033], [0.03150999999999999, 0.03113500000000001, 0.031101000000000004, 0.03109400000000004, 0.03116200000000003, 0.031159000000000027, 0.031241000000000015, 0.031170000000000028, 0.031285000000000014, 0.031254999999999984])
((100, 100, 200), [0.053, 0.054, 0.053, 0.054, 0.052, 0.054, 0.055, 0.054, 0.054, 0.054], [0.05675999999999998, 0.05593, 0.056949, 0.05753000000000001, 0.057545000000000034, 0.05740799999999999, 0.057413, 0.058486000000000024, 0.05747000000000001, 0.05757399999999999])
((100, 200, 200), [0.128, 0.128, 0.125, 0.131, 0.126, 0.126, 0.125, 0.126, 0.123, 0.128], [0.152539, 0.14891100000000007, 0.13001499999999996, 0.13894499999999996, 0.14290999999999998, 0.14114400000000002, 0.14652800000000002, 0.14664700000000003, 0.14234200000000008, 0.142064])
((200, 200, 200), [0.394, 0.40900000000000003, 0.394, 0.39, 0.396, 0.388, 0.404, 0.406, 0.40900000000000003, 0.389], [0.44038599999999994, 0.3770539999999997, 0.37931899999999985, 0.405373, 0.40441799999999983, 0.37735299999999977, 0.3893460000000001, 0.402881, 0.3689360000000001, 0.3869070000000002])
((200, 200, 400), [0.8140000000000001, 0.804, 0.805, 0.8, 0.805, 0.806, 0.803, 0.803, 0.804, 0.803], [0.8724449999999997, 0.787226, 0.7972509999999997, 0.8083279999999999, 0.808991, 0.7839999999999998, 0.821152, 0.78316, 0.8320400000000006, 0.8136529999999996])
